"Answer","Guess","GuessRight","InvalidGuess","GuessWrong"
"ULVSS","ULVSS",TRUE,FALSE,FALSE
"RLMEW","RLMEW",TRUE,FALSE,FALSE
"SLNJR","SLNC",FALSE,TRUE,FALSE
"JFFOE","XKOE",FALSE,TRUE,FALSE
"OPXKA","OPXKA",TRUE,FALSE,FALSE
"UICUU","MCUU",FALSE,TRUE,FALSE
"AHMFW","LHMFW",FALSE,FALSE,TRUE
"KNLIF","??NLN",FALSE,TRUE,FALSE
"BJDBH","BSDBH",FALSE,FALSE,TRUE
"FVEYN","FVMN",FALSE,TRUE,FALSE
"YUXRB","YUXRB",TRUE,FALSE,FALSE
"OVTJS","OVISS",FALSE,FALSE,TRUE
"XGFTM","XGFAM",FALSE,FALSE,TRUE
"SPBLK","SPB?K",FALSE,TRUE,FALSE
"PMOWG","PMOWG",TRUE,FALSE,FALSE
"LBDLN","?BDLN",FALSE,TRUE,FALSE
"AUQYS","AUQYS",TRUE,FALSE,FALSE
"BEVBJ","BEABS",FALSE,FALSE,TRUE
"BCCVH","BCCVH",TRUE,FALSE,FALSE
"AUOOP","AUOOP",TRUE,FALSE,FALSE
"DBQWY","DBOWI",FALSE,FALSE,TRUE
"DQDUA","DQDUA",TRUE,FALSE,FALSE
"JYOND","SYQND",FALSE,FALSE,TRUE
"AQVMM","AQMM",FALSE,TRUE,FALSE
"KAPJR","KAPSR",FALSE,FALSE,TRUE
"IRKVT","IRKVT",TRUE,FALSE,FALSE
"QCGFE","QCGFE",TRUE,FALSE,FALSE
"BWGVP","BWGDP",FALSE,FALSE,TRUE
"WOYWX","WOYWX",TRUE,FALSE,FALSE
"DAFWX","IAFWX",FALSE,FALSE,TRUE
"OLXGH","OVXCH",FALSE,FALSE,TRUE
"YIGWG","Y?CW",FALSE,TRUE,FALSE
"MSVIY","MSV?Y",FALSE,TRUE,FALSE
"VFKPU","VFKPU",TRUE,FALSE,FALSE
"GOKQP","GOKQI",FALSE,FALSE,TRUE
"GMSJN","GMSJN",TRUE,FALSE,FALSE
"PVJPQ","NSPQ",FALSE,TRUE,FALSE
"QVUEF","QVUEF",TRUE,FALSE,FALSE
"EJMQV","EJMQV",TRUE,FALSE,FALSE
"GJAMM","QAMM",FALSE,TRUE,FALSE
"WXPUE","WXPUE",TRUE,FALSE,FALSE
"LLNPJ","L?NIJ",FALSE,TRUE,FALSE
"DSJRL","DSKRL",FALSE,FALSE,TRUE
"WBKVT","WBKVT",TRUE,FALSE,FALSE
"LDWCP","LDWCP",TRUE,FALSE,FALSE
"UYTIW","UYAIW",FALSE,FALSE,TRUE
"WCGMY","WCCMY",FALSE,FALSE,TRUE
"DEVAD","DEVAD",TRUE,FALSE,FALSE
"XXRNF","XXRNF",TRUE,FALSE,FALSE
"TCUCY","TCUCV",FALSE,FALSE,TRUE
"KAVPT","KAVPF",FALSE,FALSE,TRUE
"SGSRG","SCSRC",FALSE,FALSE,TRUE
